total sulfur dioxide,sulphates,fixed acidity,chlorides,volatile acidity
170.0,0.45,7.0,0.045,0.27
132.0,0.49,6.3,0.049,0.3
97.0,0.44,8.1,0.05,0.28
186.0,0.4,7.2,0.058,0.23
186.0,0.4,7.2,0.058,0.23
97.0,0.44,8.1,0.05,0.28
136.0,0.47,6.2,0.045,0.32
170.0,0.45,7.0,0.045,0.27
132.0,0.49,6.3,0.049,0.3
129.0,0.45,8.1,0.044,0.22
63.0,0.56,8.1,0.033,0.27
109.0,0.53,8.6,0.035,0.23
75.0,0.63,7.9,0.04,0.18
143.0,0.52,6.6,0.044,0.16
172.0,0.67,8.3,0.04,0.42
112.0,0.55,6.6,0.032,0.17
99.0,0.36,6.3,0.046,0.48
171.0,0.53,7.4,0.033,0.34
133.0,0.5,6.5,0.044,0.31
75.0,0.39,6.2,0.029,0.66
102.0,0.35,6.4,0.038,0.31
122.0,0.48,6.8,0.049,0.26
168.0,0.51,7.6,0.074,0.67
142.0,0.47,6.6,0.052,0.27
245.0,0.5,7.0,0.046,0.25
146.0,0.44,6.9,0.052,0.24
141.0,0.53,7.0,0.051,0.28
132.0,0.49,7.4,0.047,0.27
114.0,0.71,7.2,0.033,0.32
142.0,0.53,8.5,0.044,0.24
47.0,0.4,8.3,0.042,0.14
100.0,0.44,7.4,0.05,0.25
179.0,0.37,5.8,0.044,0.27
123.0,0.42,7.3,0.08,0.28
149.0,0.35,6.5,0.051,0.39
138.0,0.28,7.0,0.053,0.33
149.0,0.36,7.3,0.057,0.24
149.0,0.36,7.3,0.057,0.24
158.0,0.36,6.7,0.172,0.23
157.0,0.34,6.7,0.173,0.24
160.0,0.46,7.0,0.069,0.31
152.0,0.56,6.6,0.057,0.24
154.0,0.56,6.7,0.06,0.23
167.0,0.53,7.4,0.058,0.18
206.0,0.52,6.2,0.063,0.45
207.0,0.52,6.2,0.066,0.46
160.0,0.46,7.0,0.069,0.31
150.0,0.48,6.9,0.067,0.19
173.0,0.44,7.2,0.062,0.19
124.0,0.58,6.6,0.068,0.25
82.0,0.46,6.2,0.057,0.16
108.0,0.35,6.4,0.045,0.18
191.0,0.52,6.9,0.039,0.25
213.0,0.5,7.2,0.043,0.21
147.0,0.36,6.0,0.048,0.19
78.0,0.38,6.6,0.044,0.38
111.0,0.34,7.4,0.038,0.2
123.0,0.46,6.8,0.092,0.22
147.0,0.36,6.0,0.048,0.19
151.0,0.34,7.0,0.035,0.47
78.0,0.38,6.6,0.044,0.38
122.0,0.46,7.2,0.038,0.24
120.0,0.54,6.2,0.064,0.35
124.0,0.49,6.4,0.04,0.26
174.0,0.42,6.7,0.041,0.25
96.0,0.64,6.7,0.046,0.23
105.0,0.35,7.4,0.05,0.24
244.0,0.51,6.2,0.056,0.27
238.5,0.6,6.8,0.061,0.3
201.0,0.71,6.0,0.063,0.27
72.0,0.49,8.6,0.054,0.23
96.0,0.64,6.7,0.046,0.23
105.0,0.35,7.4,0.05,0.24
87.0,0.37,7.1,0.043,0.18
69.0,0.65,7.0,0.042,0.32
103.0,0.56,7.4,0.064,0.18
105.0,0.37,6.7,0.06,0.54
114.0,0.77,6.8,0.053,0.22
166.0,0.6,7.1,0.05,0.2
164.0,0.42,7.1,0.063,0.34
207.0,0.46,7.3,0.047,0.22
155.0,0.45,7.1,0.045,0.43
152.0,0.46,7.1,0.044,0.44
202.0,0.48,6.8,0.05,0.25
155.0,0.45,7.1,0.045,0.43
152.0,0.46,7.1,0.044,0.44
156.0,0.44,7.2,0.044,0.39
243.0,0.47,6.1,0.049,0.27
136.0,0.4,6.9,0.035,0.24
136.0,0.41,6.9,0.034,0.21
148.0,0.44,7.5,0.04,0.17
240.0,0.42,7.1,0.044,0.26
164.0,0.5,6.0,0.046,0.34
80.0,0.36,8.6,0.034,0.265
