total sulfur dioxide,sulphates,fixed acidity,chlorides,volatile acidity,type_encoded
170.0,0.45,7.0,0.045,0.27,1
132.0,0.49,6.3,0.049,0.3,1
97.0,0.44,8.1,0.05,0.28,1
186.0,0.4,7.2,0.058,0.23,1
186.0,0.4,7.2,0.058,0.23,1
97.0,0.44,8.1,0.05,0.28,1
136.0,0.47,6.2,0.045,0.32,1
170.0,0.45,7.0,0.045,0.27,1
132.0,0.49,6.3,0.049,0.3,1
129.0,0.45,8.1,0.044,0.22,1
63.0,0.56,8.1,0.033,0.27,1
109.0,0.53,8.6,0.035,0.23,1
75.0,0.63,7.9,0.04,0.18,1
143.0,0.52,6.6,0.044,0.16,1
172.0,0.67,8.3,0.04,0.42,1
112.0,0.55,6.6,0.032,0.17,1
99.0,0.36,6.3,0.046,0.48,1
171.0,0.53,7.4,0.033,0.34,1
133.0,0.5,6.5,0.044,0.31,1
75.0,0.39,6.2,0.029,0.66,1
102.0,0.35,6.4,0.038,0.31,1
122.0,0.48,6.8,0.049,0.26,1
168.0,0.51,7.6,0.074,0.67,1
142.0,0.47,6.6,0.052,0.27,1
245.0,0.5,7.0,0.046,0.25,1
146.0,0.44,6.9,0.052,0.24,1
141.0,0.53,7.0,0.051,0.28,1
132.0,0.49,7.4,0.047,0.27,1
114.0,0.71,7.2,0.033,0.32,1
142.0,0.53,8.5,0.044,0.24,1
47.0,0.4,8.3,0.042,0.14,1
100.0,0.44,7.4,0.05,0.25,1
179.0,0.37,5.8,0.044,0.27,1
123.0,0.42,7.3,0.08,0.28,1
149.0,0.35,6.5,0.051,0.39,1
138.0,0.28,7.0,0.053,0.33,1
149.0,0.36,7.3,0.057,0.24,1
149.0,0.36,7.3,0.057,0.24,1
158.0,0.36,6.7,0.172,0.23,1
157.0,0.34,6.7,0.173,0.24,1
160.0,0.46,7.0,0.069,0.31,1
152.0,0.56,6.6,0.057,0.24,1
154.0,0.56,6.7,0.06,0.23,1
167.0,0.53,7.4,0.058,0.18,1
206.0,0.52,6.2,0.063,0.45,1
207.0,0.52,6.2,0.066,0.46,1
160.0,0.46,7.0,0.069,0.31,1
150.0,0.48,6.9,0.067,0.19,1
173.0,0.44,7.2,0.062,0.19,1
124.0,0.58,6.6,0.068,0.25,1
82.0,0.46,6.2,0.057,0.16,1
108.0,0.35,6.4,0.045,0.18,1
191.0,0.52,6.9,0.039,0.25,1
213.0,0.5,7.2,0.043,0.21,1
147.0,0.36,6.0,0.048,0.19,1
78.0,0.38,6.6,0.044,0.38,1
111.0,0.34,7.4,0.038,0.2,1
123.0,0.46,6.8,0.092,0.22,1
147.0,0.36,6.0,0.048,0.19,1
151.0,0.34,7.0,0.035,0.47,1
78.0,0.38,6.6,0.044,0.38,1
122.0,0.46,7.2,0.038,0.24,1
120.0,0.54,6.2,0.064,0.35,1
124.0,0.49,6.4,0.04,0.26,1
174.0,0.42,6.7,0.041,0.25,1
96.0,0.64,6.7,0.046,0.23,1
105.0,0.35,7.4,0.05,0.24,1
244.0,0.51,6.2,0.056,0.27,1
238.5,0.6,6.8,0.061,0.3,1
201.0,0.71,6.0,0.063,0.27,1
72.0,0.49,8.6,0.054,0.23,1
96.0,0.64,6.7,0.046,0.23,1
105.0,0.35,7.4,0.05,0.24,1
87.0,0.37,7.1,0.043,0.18,1
69.0,0.65,7.0,0.042,0.32,1
103.0,0.56,7.4,0.064,0.18,1
105.0,0.37,6.7,0.06,0.54,1
114.0,0.77,6.8,0.053,0.22,1
166.0,0.6,7.1,0.05,0.2,1
164.0,0.42,7.1,0.063,0.34,1
207.0,0.46,7.3,0.047,0.22,1
155.0,0.45,7.1,0.045,0.43,1
152.0,0.46,7.1,0.044,0.44,1
202.0,0.48,6.8,0.05,0.25,1
155.0,0.45,7.1,0.045,0.43,1
152.0,0.46,7.1,0.044,0.44,1
156.0,0.44,7.2,0.044,0.39,1
243.0,0.47,6.1,0.049,0.27,1
136.0,0.4,6.9,0.035,0.24,1
136.0,0.41,6.9,0.034,0.21,1
148.0,0.44,7.5,0.04,0.17,1
240.0,0.42,7.1,0.044,0.26,1
164.0,0.5,6.0,0.046,0.34,1
80.0,0.36,8.6,0.034,0.265,1
164.0,0.5,6.0,0.046,0.34,1
192.0,0.44,7.4,0.06,0.25,1
162.0,0.41,7.1,0.054,0.12,1
164.0,0.39,6.0,0.05,0.21,1
170.0,0.46,7.5,0.059,0.305,1
192.0,0.44,7.4,0.06,0.25,1
109.0,0.35,7.3,0.051,0.13,1
162.0,0.41,7.1,0.054,0.12,1
171.0,0.59,7.1,0.04,0.23,1
171.0,0.59,7.1,0.04,0.23,1
187.0,0.6,6.9,0.051,0.33,1
163.0,0.39,6.5,0.082,0.17,1
255.0,0.52,7.2,0.052,0.27,1
195.0,0.47,7.2,0.056,0.31,1
150.0,0.51,6.7,0.049,0.41,1
150.0,0.51,6.7,0.049,0.41,1
103.0,0.4,5.5,0.065,0.485,1
143.0,0.44,6.0,0.041,0.31,1
85.0,0.42,7.0,0.035,0.14,1
195.0,0.47,7.2,0.056,0.31,1
196.0,0.5,7.3,0.06,0.32,1
87.0,0.51,5.9,0.046,0.36,1
138.0,0.54,7.8,0.054,0.24,1
131.0,0.34,7.4,0.059,0.16,1
146.0,0.36,6.9,0.058,0.19,1
158.0,0.36,6.4,0.092,0.13,1
143.0,0.48,6.7,0.026,0.19,1
126.0,0.42,7.4,0.033,0.39,1
203.0,0.54,6.5,0.038,0.24,1
179.0,0.57,6.1,0.044,0.3,1
184.0,0.57,6.1,0.046,0.3,1
57.0,0.37,5.7,0.02,0.26,1
203.0,0.54,6.5,0.038,0.24,1
241.0,0.57,6.5,0.038,0.425,1
188.0,0.51,6.6,0.035,0.24,1
203.0,0.52,6.8,0.034,0.27,1
179.0,0.56,6.7,0.036,0.27,1
121.0,0.38,8.2,0.027,0.23,1
155.0,0.44,7.1,0.045,0.37,1
96.0,0.54,6.8,0.035,0.19,1
77.0,0.43,6.3,0.045,0.31,1
155.0,0.44,7.1,0.045,0.37,1
107.0,0.54,7.9,0.039,0.21,1
99.0,0.53,8.5,0.036,0.21,1
87.0,0.54,8.1,0.037,0.2,1
114.0,0.39,6.3,0.04,0.255,1
168.0,0.37,5.6,0.044,0.16,1
